Dataset,Class,Construction_time_ms,Total_classification_time_s,Average_classification_time_us,Throughput_classification_Mpps,Total_update_time_s,Average_update_time_us,Throughput_update_Mpps
fw3_10k,HybridTSS,18081.8,0.002084,0.104178,9.598976,0.000285,0.145231,6.885601
fw4_10k,PSTSS,1.44382,0.032269,0.613627,1.629654,0.001029,0.217752,4.592389
fw4_10k,CutTSS,9.54476,0.035235,0.670041,1.492445,0.001315,0.278235,3.594089
fw4_10k,HybridTSS,42953.6,0.00241,0.045824,21.822627,0.00054,0.114313,8.747931
fw5_10k,PSTSS,0.720467,0.005173,0.234265,4.268676,0.000411,0.187606,5.330314
fw5_10k,CutTSS,3.795,0.00536,0.242718,4.120013,0.000523,0.238765,4.188223
fw5_10k,HybridTSS,20436.3,0.001852,0.083882,11.921452,0.000275,0.125495,7.968461
fw1_100k,PSTSS,2.82232,0.046274,0.54187,1.845461,0.002162,0.255006,3.921476
fw1_100k,CutTSS,15.2429,0.050347,0.589577,1.696132,0.002638,0.311077,3.214634
fw1_100k,HybridTSS,78727.5,0.00676,0.079162,12.632321,0.001228,0.14486,6.903233
fw2_100k,PSTSS,0.485355,0.00169,0.092954,10.75803,0.00028,0.173147,5.77543
fw2_100k,CutTSS,2.57153,0.002132,0.117277,8.52682,0.000368,0.227423,4.397087
fw2_100k,HybridTSS,15145.6,0.000629,0.034601,28.900705,0.000168,0.10369,9.644134
fw3_100k,PSTSS,0.757429,0.014492,0.577125,1.732726,0.000693,0.278833,3.586371
fw3_100k,CutTSS,4.42939,0.014629,0.582616,1.716395,0.00092,0.370295,2.700547
fw3_100k,HybridTSS,23062.5,0.002565,0.102143,9.790179,0.000378,0.152093,6.574909
fw4_100k,PSTSS,6.54405,0.228534,1.171854,0.853348,0.011988,0.615551,1.624562
fw4_100k,CutTSS,42.9716,0.210752,1.080673,0.925349,0.011616,0.596444,1.676603
fw4_100k,HybridTSS,192964.0,0.010638,0.054548,18.332509,0.002584,0.132659,7.538145
fw5_100k,PSTSS,2.49224,0.036081,0.514709,1.942846,0.002699,0.385775,2.592186
fw5_100k,CutTSS,13.0459,0.037031,0.52826,1.893008,0.002064,0.294953,3.390368
fw5_100k,HybridTSS,66996.4,0.007811,0.111423,8.974844,0.001201,0.171691,5.824412
